
2024/04/13 (08:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (08:11:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (08:40:07) | ===> btop++ v.1.3.2
2024/04/13 (08:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (08:40:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (23:15:09) | ===> btop++ v.1.3.2
2024/04/13 (23:15:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (23:15:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (08:21:19) | ===> btop++ v.1.3.2
2024/04/14 (08:21:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (08:21:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (20:33:46) | ===> btop++ v.1.3.2
2024/04/14 (20:33:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (20:33:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/27 (13:07:34) | ===> btop++ v.1.3.2
2024/04/27 (13:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/27 (13:07:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/29 (00:01:07) | ===> btop++ v.1.3.2
2024/04/29 (00:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/29 (00:01:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
